marker,total_occurrences,chi2,p_value,cramers_v,significant,class_frequencies,peak_class,peak_frequency,category
result,24,24.495280632566146,6.354127462995934e-05,0.03528538628005524,False,"{'SAME_DAY': 0.0006119951040391676, 'IMMEDIATE_UPDATE': 0.0011229646266142617, 'SHORT_TERM_DEV': 0.0011771630370806356, 'LONG_TERM_DEV': 0.003287310979618672, 'DISTANT_RELATED': 0.0}",LONG_TERM_DEV,0.003287310979618672,backward_references
declares,91,23.96395973428812,8.121442852701068e-05,0.034900605126516326,False,"{'SAME_DAY': 0.008567931456548347, 'IMMEDIATE_UPDATE': 0.007018528916339135, 'SHORT_TERM_DEV': 0.003531489111241907, 'LONG_TERM_DEV': 0.0010957703265395574, 'DISTANT_RELATED': 0.0053705692803437165}",SAME_DAY,0.008567931456548347,statement_verbs
new,609,22.63272815310347,0.0001499160202485781,0.03391736616565772,False,"{'SAME_DAY': 0.029987760097919217, 'IMMEDIATE_UPDATE': 0.022178551375631666, 'SHORT_TERM_DEV': 0.024720423778693348, 'LONG_TERM_DEV': 0.036817882971729124, 'DISTANT_RELATED': 0.035138867577106034}",LONG_TERM_DEV,0.036817882971729124,update_indicators
says,1144,22.082446450251393,0.0001929871032879389,0.03350250336223573,False,"{'SAME_DAY': 0.06303549571603427, 'IMMEDIATE_UPDATE': 0.06625491297024144, 'SHORT_TERM_DEV': 0.058563861094761624, 'LONG_TERM_DEV': 0.06486960333114179, 'DISTANT_RELATED': 0.0475678993401872}",IMMEDIATE_UPDATE,0.06625491297024144,statement_verbs
reacts,12,20.724566868948415,0.00035907329182033776,0.03245610486422593,False,"{'SAME_DAY': 0.0030599755201958386, 'IMMEDIATE_UPDATE': 0.0008422234699606962, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0006574621959237344, 'DISTANT_RELATED': 0.00015344483658124905}",SAME_DAY,0.0030599755201958386,backward_references
declared,51,20.63849675639008,0.00037344354902470693,0.03238863886987767,False,"{'SAME_DAY': 0.0036719706242350062, 'IMMEDIATE_UPDATE': 0.00028074115665356543, 'SHORT_TERM_DEV': 0.0008828722778104767, 'LONG_TERM_DEV': 0.0026298487836949377, 'DISTANT_RELATED': 0.004449900260856223}",DISTANT_RELATED,0.004449900260856223,statement_verbs
announces,209,20.30643727206492,0.000434423578338733,0.03212702664126301,False,"{'SAME_DAY': 0.006731946144430845, 'IMMEDIATE_UPDATE': 0.0050533408197641775, 'SHORT_TERM_DEV': 0.015008828722778105, 'LONG_TERM_DEV': 0.01205347359193513, 'DISTANT_RELATED': 0.01135491790701243}",SHORT_TERM_DEV,0.015008828722778105,statement_verbs
confirmed,73,19.877352494672873,0.0005280226070345043,0.031785784609099484,False,"{'SAME_DAY': 0.004895960832313341, 'IMMEDIATE_UPDATE': 0.0025266704098820887, 'SHORT_TERM_DEV': 0.0038257798705120657, 'LONG_TERM_DEV': 0.006793776024545255, 'DISTANT_RELATED': 0.0018413380389749885}",LONG_TERM_DEV,0.006793776024545255,statement_verbs
claimed,19,19.115365554961784,0.0007459671771159225,0.031170586239698327,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0002942907592701589, 'LONG_TERM_DEV': 0.0006574621959237344, 'DISTANT_RELATED': 0.0023016725487187356}",DISTANT_RELATED,0.0023016725487187356,statement_verbs
dismissed,10,18.81158845262079,0.000855836300228981,0.030921916348684516,False,"{'SAME_DAY': 0.0, 'IMMEDIATE_UPDATE': 0.0, 'SHORT_TERM_DEV': 0.0, 'LONG_TERM_DEV': 0.0017532325224632918, 'DISTANT_RELATED': 0.0003068896731624981}",LONG_TERM_DEV,0.0017532325224632918,negation_denial
